respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.10176334163530294,0.1866042670894339
26708,0.02558592600918311,0.0303730286722833
26709,0.18132846327685884,0.7419228317864242
26710,0.6325370721929913,0.9032362155344315
26711,0.3170454348421608,0.5195618206815227
26712,0.8436229258702255,0.9790997901227921
26713,0.32156771779301335,0.5850306002376464
26714,0.1836731925408451,0.1409298327422843
26715,0.02651498988775103,0.10646730053485737
26716,0.23989140516271018,0.9065597732022137
26717,0.009003842078578484,0.4420397509204481
26718,0.3741057744440641,0.5881664378608437
26719,0.05755821997812872,0.9373411341224699
26720,0.01950202252616993,0.23490841368806792
26721,0.36934389790591526,0.40457922742512686
26722,0.10368109389809879,0.10800980720691815
26723,0.8107017903451975,0.9353631532914393
26724,0.01760593641482632,0.7151011102954982
26725,0.006120384980725549,0.034914515900414535
26726,0.05590744835743912,0.038804131986600106
26727,0.513385086592714,0.9284932785634342
26728,0.257437274868384,0.557868456622668
26729,0.19497212829177685,0.7492095673158364
26730,0.0527130459257442,0.131599219333017
26731,0.02820344431238383,0.23580029140911732
26732,0.14483866192374084,0.15047935209920818
26733,0.9774829294903458,0.9713932935358454
26734,0.778013800124545,0.2970713586267252
26735,0.1086097448874726,0.3277433992230202
26736,0.07447657934102477,0.17245618850021405
26737,0.05811383112536056,0.13778755881130883
26738,0.8123117702137206,0.8921704170538316
26739,0.1438042735564494,0.23547165740872042
26740,0.12885745585762753,0.08020222942196188
26741,0.04585866475487834,0.9069110228550266
26742,0.10446048819693025,0.4331560079312484
26743,0.0534369227785089,0.4827465483362337
26744,0.03809265629814097,0.6964826900264639
26745,0.022895634306879534,0.8869805000758687
26746,0.23641852658967374,0.23863263028121998
26747,0.03606830536903195,0.1525481647381515
26748,0.05838912698786805,0.07677980532780643
26749,0.06817576538548141,0.684460528712254
26750,0.4277456526027505,0.8721182281294984
26751,0.475688750753479,0.800769490786985
26752,0.06642891233032971,0.09965919859462546
26753,0.3093352629694081,0.6035690201353817
26754,0.18129088495869722,0.6478815340538125
26755,0.14129000260119326,0.3539970831700293
26756,0.016706308562245694,0.01916626200265495
26757,0.19882742306533832,0.46134046220671954
26758,0.5646474762593492,0.8212678926860354
26759,0.016318302726887828,0.15851164991504488
26760,0.0675145382572917,0.12975018615810788
26761,0.38685889838657544,0.7339562849175939
26762,0.20044969372777263,0.8702622006282166
26763,0.920694983237495,0.9745416548813284
26764,0.9781361029514263,0.9784061782949904
26765,0.03578199847132148,0.6821248882217733
26766,0.13691545351489395,0.13575824538341097
26767,0.9279098039303986,0.7654972603878861
26768,0.017290948683113726,0.32373783283130964
26769,0.06314227546493545,0.11044304707808959
26770,0.03450180232905053,0.4370006865265484
26771,0.014470438516268376,0.13344234758444437
26772,0.05050563617941125,0.49833488123154634
26773,0.029319328495621168,0.379223583427466
26774,0.02147066486298311,0.3009169365195905
26775,0.02524330893531571,0.4427844487877551
26776,0.4007891722613578,0.38370842723865606
26777,0.09456478244463641,0.9170280566188286
26778,0.09834288648456735,0.03911792830532495
26779,0.18397016518051915,0.6546449880023375
26780,0.06529020801008642,0.909617537950906
26781,0.046010359763380915,0.4048704711996322
26782,0.05519639416899578,0.3155446283793004
26783,0.017578643554638597,0.2260788134055921
26784,0.09395682218249257,0.8321057400969333
26785,0.4815013583776016,0.635429246883432
26786,0.034966792237304894,0.19255007997221618
26787,0.04327644371812332,0.5810427010915612
26788,0.019907792647162696,0.8862032596352719
26789,0.016225764950183373,0.2550792632326709
26790,0.021173836998601644,0.20978757313828206
26791,0.04028690362018518,0.09164593861717257
26792,0.05563583329764128,0.7411469519774593
26793,0.117809884637879,0.9506768321881905
26794,0.5581226840620287,0.8460321116757048
26795,0.09629334296615194,0.9786007415587246
26796,0.028795737822527364,0.035804029344015616
26797,0.21065157227688916,0.797440854282957
26798,0.3297215056175953,0.21527261148888718
26799,0.2362578609139563,0.3177704188928379
26800,0.045011895333981006,0.9647528737116867
26801,0.2746234280716249,0.42484183255801883
26802,0.09075721972063461,0.1845904313090363
26803,0.021533245357006677,0.12290173741502573
26804,0.028866097700696036,0.06807738721141511
26805,0.04492770802095418,0.18120441226067963
26806,0.017133713571780836,0.9220553687415773
26807,0.3352776030769671,0.8546210658557493
26808,0.04736592248884001,0.409656910476508
26809,0.477533173891963,0.14218502202948896
26810,0.024142933368073105,0.08390253331930132
26811,0.017182940038537212,0.04889136668335527
26812,0.35537655275590635,0.8845114581964924
26813,0.5687753913300583,0.40057528007956217
26814,0.01755593626672649,0.693322641772698
26815,0.010966765024576622,0.02952629689297691
26816,0.038417141450875034,0.14838385151771996
26817,0.02053604800795964,0.5079926272701916
26818,0.13922467701831398,0.256853760377328
26819,0.19445930799592473,0.24372541772042305
26820,0.07330837308840812,0.1546747647614579
26821,0.026205526645438012,0.5989554391856502
26822,0.07688597295775458,0.6995599294070417
26823,0.29573423421323436,0.33775877302317353
26824,0.01743048038616231,0.6075886495230058
26825,0.38146394284824614,0.7002596396621021
26826,0.04819672753731317,0.6570304981477998
26827,0.01932235627644932,0.10251272958003137
26828,0.05843145152642246,0.37723384882315397
26829,0.8790875616601587,0.9551496223530642
26830,0.014743976500516063,0.7543488446173422
26831,0.13678061362927485,0.8730302867621507
